sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
180,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
181,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
182,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
183,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
406,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
407,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
408,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
409,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
410,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
411,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
412,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
413,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
414,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
415,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
